Date,Unique visitors,Visits,Users,Actions,Maximum actions in one visit,Bounces,Total time spent by visitors (in seconds),Conversions,Visits with Conversions,Revenue,Conversion Rate,nb_conversions_new_visit,nb_visits_converted_new_visit,revenue_new_visit,conversion_rate_new_visit,Pageviews,Unique Pageviews,Downloads,Unique Downloads,Outlinks,Unique Outlinks,Searches,Unique Keywords,nb_hits_with_time_generation,Avg. generation time,Bounce Rate,Actions per Visit,Avg. Visit Duration (in seconds),Avg. Duration of a Returning Visit (in sec),Avg. Actions per Returning Visit,Bounce Rate for Returning Visits,Returning Visits,Actions by Returning Visits,Unique returning visitors,Returning Users,Maximum actions in one returning visit,nb_conversions_returning_visit,nb_visits_converted_returning_visit,revenue_returning_visit,conversion_rate_returning_visit
2017-02-25,6,11,0,17,4,8,5199,0,0,0,0%,0,0,0,0%,17,11,0,0,0,0,0,0,17,0.19s,73%,1.5,00:07:53,00:12:54,1.8,67%,6,11,2,0,4,0,0,0,0%
2017-02-26,7,8,0,10,3,7,891,0,0,0,0%,0,0,0,0%,10,8,0,0,0,0,0,0,10,0.13s,88%,1.3,00:01:51,00:00:00,1,100%,3,3,2,0,1,0,0,0,0%
2017-02-27,17,18,0,19,2,17,561,0,0,0,0%,0,0,0,0%,19,18,0,0,0,0,0,0,19,0.21s,94%,1.1,00:00:31,00:00:00,1,100%,9,9,9,0,1,0,0,0,0%
2017-02-28,18,22,0,30,7,20,734,0,0,0,0%,0,0,0,0%,30,22,0,0,0,0,0,0,30,0.35s,91%,1.4,00:00:33,00:00:43,1.5,88%,17,25,14,0,7,0,0,0,0%
2017-03-01,18,22,0,53,8,14,7906,0,0,0,0%,0,0,0,0%,49,22,0,0,4,4,0,0,48,0.72s,64%,2.4,00:05:59,00:01:21,1.8,67%,15,27,13,0,8,0,0,0,0%
2017-03-02,21,28,0,49,6,20,9022,0,0,0,0%,0,0,0,0%,48,28,0,0,1,1,0,0,46,0.37s,71%,1.8,00:05:22,00:04:19,1.8,65%,17,31,13,0,5,0,0,0,0%
2017-03-03,20,20,0,29,4,16,3304,0,0,0,0%,0,0,0,0%,29,20,0,0,0,0,0,0,29,0.17s,80%,1.5,00:02:45,00:05:17,1.6,80%,10,16,10,0,4,0,0,0,0%
2017-03-04,6,7,0,15,5,4,5616,0,0,0,0%,0,0,0,0%,15,7,0,0,0,0,0,0,15,0.07s,57%,2.1,00:13:22,00:00:12,1.5,50%,2,3,2,0,2,0,0,0,0%
2017-03-05,14,15,0,41,23,12,6653,0,0,0,0%,0,0,0,0%,41,15,0,0,0,0,0,0,40,0.12s,80%,2.7,00:07:24,00:00:00,1,100%,6,6,5,0,1,0,0,0,0%
2017-03-06,20,26,0,47,12,20,12817,0,0,0,0%,0,0,0,0%,47,26,0,0,0,0,0,0,43,0.2s,77%,1.8,00:08:13,00:12:11,1.9,80%,15,28,10,0,12,0,0,0,0%
2017-03-07,14,16,0,24,3,11,1946,0,0,0,0%,0,0,0,0%,23,16,0,0,1,1,0,0,23,0.28s,69%,1.5,00:02:02,00:02:32,1.3,78%,9,12,8,0,3,0,0,0,0%
2017-03-08,16,20,0,25,3,16,409,0,0,0,0%,0,0,0,0%,25,20,0,0,0,0,0,0,25,0.25s,80%,1.3,00:00:20,00:00:20,1.3,75%,12,16,9,0,3,0,0,0,0%
