Date,Unique visitors,Visits,Users,Actions,Maximum actions in one visit,Bounces,Total time spent by visitors (in seconds),Conversions,Visits with Conversions,Revenue,Conversion Rate,nb_conversions_new_visit,nb_visits_converted_new_visit,revenue_new_visit,conversion_rate_new_visit,Pageviews,Unique Pageviews,Downloads,Unique Downloads,Outlinks,Unique Outlinks,Searches,Unique Keywords,nb_hits_with_time_generation,Avg. generation time,Bounce Rate,Actions per Visit,Avg. Visit Duration (in seconds),Avg. Duration of a Returning Visit (in sec),Avg. Actions per Returning Visit,Bounce Rate for Returning Visits,Returning Visits,Actions by Returning Visits,Unique returning visitors,Returning Users,Maximum actions in one returning visit,nb_conversions_returning_visit,nb_visits_converted_returning_visit,revenue_returning_visit,conversion_rate_returning_visit
2017-09-06,56,75,0,210,30,30,10529,0,0,0,0%,0,0,0,0%,161,128,0,0,49,41,0,0,152,0.18s,40%,2.8,00:02:20,00:03:05,3.1,33%,49,154,30,0,30,0,0,0,0%
2017-09-07,42,58,0,165,12,23,11252,0,0,0,0%,0,0,0,0%,154,115,0,0,11,11,0,0,143,0.24s,40%,2.8,00:03:14,00:03:07,3,36%,44,131,29,0,12,0,0,0,0%
2017-09-08,48,65,0,157,11,36,11819,0,0,0,0%,0,0,0,0%,126,106,0,0,31,23,0,0,115,0.18s,55%,2.4,00:03:02,00:04:23,2.5,51%,39,98,25,0,11,0,0,0,0%
2017-09-09,23,30,0,90,20,13,3513,0,0,0,0%,0,0,0,0%,85,58,0,0,5,4,0,0,85,0.28s,43%,3,00:01:57,00:02:31,2.8,38%,16,44,10,0,11,0,0,0,0%
2017-09-10,15,20,0,43,8,9,1427,0,0,0,0%,0,0,0,0%,36,31,0,0,7,6,0,0,36,0.3s,45%,2.2,00:01:11,00:00:50,1.5,62%,13,20,8,0,3,0,0,0,0%
2017-09-11,65,91,0,213,25,44,11866,0,0,0,0%,0,0,0,0%,194,143,0,0,19,17,0,0,189,0.21s,48%,2.3,00:02:10,00:02:52,2.6,44%,64,165,47,0,25,0,0,0,0%
2017-09-12,98,130,0,347,15,61,29586,0,0,0,0%,0,0,0,0%,321,238,0,0,26,22,0,0,309,0.21s,47%,2.7,00:03:48,00:04:19,2.9,42%,72,210,52,0,15,0,0,0,0%
2017-09-13,100,135,0,443,21,47,35983,0,0,0,0%,0,0,0,0%,404,271,1,1,38,35,0,0,379,0.17s,35%,3.3,00:04:27,00:05:19,3.5,30%,73,253,47,0,21,0,0,0,0%
2017-09-14,184,367,0,954,29,167,105376,0,0,0,0%,0,0,0,0%,873,597,1,1,80,72,0,0,800,0.21s,46%,2.6,00:04:47,00:05:19,2.4,47%,247,587,101,0,29,0,0,0,0%
2017-09-15,127,257,0,676,22,144,89502,0,0,0,0%,0,0,0,0%,626,420,2,1,48,42,0,0,594,0.18s,56%,2.6,00:05:48,00:06:30,2.7,57%,212,574,90,0,22,0,0,0,0%
2017-09-16,47,55,0,102,10,39,3217,0,0,0,0%,0,0,0,0%,96,77,0,0,6,5,0,0,89,0.84s,71%,1.9,00:00:58,00:00:55,1.7,75%,40,66,32,0,9,0,0,0,0%
