Date,Unique visitors,Visits,Users,Actions,Maximum actions in one visit,Bounces,Total time spent by visitors (in seconds),Returning Visits,Actions by Returning Visits,Unique returning visitors,Returning Users,Maximum actions in one returning visit,Bounce Rate for Returning Visits,Avg. Actions per Returning Visit,Avg. Duration of a Returning Visit (in sec),Conversions,Visits with Conversions,Revenue,Conversion Rate,nb_conversions_new_visit,nb_visits_converted_new_visit,revenue_new_visit,conversion_rate_new_visit,nb_conversions_returning_visit,nb_visits_converted_returning_visit,revenue_returning_visit,conversion_rate_returning_visit,Pageviews,Unique Pageviews,Downloads,Unique Downloads,Outlinks,Unique Outlinks,Searches,Unique Keywords,nb_hits_with_time_generation,Avg. generation time,Bounce Rate,Actions per Visit,Avg. Visit Duration (in seconds)
2016-02-15,386,452,0,1068,30,281,81158,165,397,124,0,30,62%,2.4,00:03:54,0,0,0,0%,0,0,0,0%,0,0,0,0%,998,830,14,13,56,46,0,0,918,0.37s,62%,2.4,00:03:00
2016-02-16,459,519,0,1151,27,342,72951,148,404,114,0,18,57%,2.7,00:03:50,0,0,0,0%,0,0,0,0%,0,0,0,0%,1085,895,17,16,48,43,1,1,1004,0.43s,66%,2.2,00:02:21
2016-02-17,505,575,0,1362,28,381,84477,146,424,109,0,28,64%,2.9,00:03:55,0,0,0,0%,0,0,0,0%,0,0,0,0%,1289,1012,17,17,50,47,6,3,1203,0.4s,66%,2.4,00:02:27
2016-02-18,461,523,0,1297,57,332,70568,148,321,119,0,42,66%,2.2,00:02:45,0,0,0,0%,0,0,0,0%,0,0,0,0%,1212,949,19,19,63,56,3,3,1115,0.36s,63%,2.5,00:02:15
2016-02-19,432,502,0,1269,27,314,86395,144,326,106,0,20,67%,2.3,00:03:18,0,0,0,0%,0,0,0,0%,0,0,0,0%,1191,948,19,16,56,55,3,2,1060,0.41s,63%,2.5,00:02:52
2016-02-20,326,382,0,1013,60,223,81182,104,278,79,0,16,58%,2.7,00:04:28,0,0,0,0%,0,0,0,0%,0,0,0,0%,946,740,12,12,50,44,5,3,882,0.48s,58%,2.7,00:03:33
2016-02-21,327,391,0,993,50,257,69472,132,324,97,0,50,71%,2.5,00:03:22,0,0,0,0%,0,0,0,0%,0,0,0,0%,946,757,10,10,32,32,5,4,881,0.46s,66%,2.5,00:02:58
2016-02-22,535,614,0,1456,39,395,106485,186,465,141,0,39,68%,2.5,00:03:10,0,0,0,0%,0,0,0,0%,0,0,0,0%,1356,1131,21,20,77,69,2,2,1270,0.46s,64%,2.4,00:02:53
2016-02-23,523,598,0,1610,50,381,127893,179,471,138,0,26,66%,2.6,00:03:57,0,0,0,0%,0,0,0,0%,0,0,0,0%,1513,1171,12,12,79,71,6,5,1414,0.6s,64%,2.7,00:03:34
2016-02-24,463,535,0,1363,48,341,106280,152,505,123,0,48,63%,3.3,00:05:38,0,0,0,0%,0,0,0,0%,0,0,0,0%,1275,1047,24,22,60,55,4,4,1159,0.49s,64%,2.5,00:03:19
