Date,Unique visitors,Visits,Users,Actions,Maximum actions in one visit,Bounces,Total time spent by visitors (in seconds),Returning Visits,Actions by Returning Visits,Unique returning visitors,Returning Users,Maximum actions in one returning visit,Bounce Rate for Returning Visits,Avg. Actions per Returning Visit,Avg. Duration of a Returning Visit (in sec),Conversions,Visits with Conversions,Revenue,Conversion Rate,nb_conversions_new_visit,nb_visits_converted_new_visit,revenue_new_visit,conversion_rate_new_visit,nb_conversions_returning_visit,nb_visits_converted_returning_visit,revenue_returning_visit,conversion_rate_returning_visit,Pageviews,Unique Pageviews,Downloads,Unique Downloads,Outlinks,Unique Outlinks,Searches,Unique Keywords,nb_hits_with_time_generation,Avg. generation time,Bounce Rate,Actions per Visit,Avg. Visit Duration (in seconds)
2018-11-08,2,3,0,3,1,3,0,2,2,1,0,1,100%,1,00:00:00,0,0,0,0%,0,0,0,0%,0,0,0,0%,3,3,0,0,0,0,0,0,3,0.12s,100%,1,00:00:00
2018-11-09,3,4,0,4,1,4,0,2,2,1,0,1,100%,1,00:00:00,0,0,0,0%,0,0,0,0%,0,0,0,0%,4,4,0,0,0,0,0,0,4,0.09s,100%,1,00:00:00
2018-11-12,6,6,0,6,1,6,0,1,1,1,0,1,100%,1,00:00:00,0,0,0,0%,0,0,0,0%,0,0,0,0%,6,6,0,0,0,0,0,0,6,0.28s,100%,1,00:00:00
2018-11-13,3,3,0,3,1,3,0,2,2,2,0,1,100%,1,00:00:00,0,0,0,0%,0,0,0,0%,0,0,0,0%,3,3,0,0,0,0,0,0,3,0.13s,100%,1,00:00:00
2018-11-14,6,7,0,8,2,6,283,4,4,3,0,1,100%,1,00:00:00,0,0,0,0%,0,0,0,0%,0,0,0,0%,8,8,0,0,0,0,0,0,8,0.19s,86%,1.1,00:00:40
2018-11-15,3,3,0,4,2,2,1162,,,,,,0%,0,00:00:00,0,0,0,0%,0,0,0,0%,,,,,4,4,0,0,0,0,0,0,4,0.76s,67%,1.3,00:06:27
2018-11-16,3,3,0,3,1,3,0,,,,,,0%,0,00:00:00,0,0,0,0%,0,0,0,0%,,,,,3,3,0,0,0,0,0,0,3,0.18s,100%,1,00:00:00
2018-11-17,2,2,0,3,2,1,63,,,,,,0%,0,00:00:00,0,0,0,0%,0,0,0,0%,,,,,3,3,0,0,0,0,0,0,3,0.24s,50%,1.5,00:00:32
2018-11-18,5,5,0,7,2,3,138,2,4,2,0,2,0%,2,00:01:09,0,0,0,0%,0,0,0,0%,0,0,0,0%,7,5,0,0,0,0,0,0,7,0.23s,60%,1.4,00:00:28
2018-11-19,4,5,0,8,3,3,2537,4,5,3,0,2,75%,1.3,00:06:07,0,0,0,0%,0,0,0,0%,0,0,0,0%,8,5,0,0,0,0,0,0,8,0.24s,60%,1.6,00:08:27
2018-11-21,3,3,0,4,2,2,548,2,3,2,0,2,50%,1.5,00:04:34,0,0,0,0%,0,0,0,0%,0,0,0,0%,4,3,0,0,0,0,0,0,4,0.2s,67%,1.3,00:03:03
2018-11-22,3,4,0,4,1,4,0,1,1,1,0,1,100%,1,00:00:00,0,0,0,0%,0,0,0,0%,0,0,0,0%,4,4,0,0,0,0,0,0,4,0.36s,100%,1,00:00:00
2018-11-23,4,4,0,5,2,3,1052,2,2,2,0,1,100%,1,00:00:00,0,0,0,0%,0,0,0,0%,0,0,0,0%,5,5,0,0,0,0,0,0,5,0.21s,75%,1.3,00:04:23
2018-11-24,1,1,0,2,2,0,1116,,,,,,0%,0,00:00:00,0,0,0,0%,0,0,0,0%,,,,,2,2,0,0,0,0,0,0,2,0.1s,0%,2,00:18:36
2018-11-25,1,1,0,1,1,1,0,,,,,,0%,0,00:00:00,0,0,0,0%,0,0,0,0%,,,,,1,1,0,0,0,0,0,0,1,0.3s,100%,1,00:00:00
2018-11-26,3,3,0,3,1,3,0,3,3,3,0,1,100%,1,00:00:00,0,0,0,0%,,,,,0,0,0,0%,3,3,0,0,0,0,0,0,3,0.07s,100%,1,00:00:00
2018-11-27,4,5,0,5,1,5,0,1,1,1,0,1,100%,1,00:00:00,0,0,0,0%,0,0,0,0%,0,0,0,0%,5,5,0,0,0,0,0,0,5,0.32s,100%,1,00:00:00
2018-11-28,2,2,0,2,1,2,0,2,2,2,0,1,100%,1,00:00:00,0,0,0,0%,,,,,0,0,0,0%,2,2,0,0,0,0,0,0,2,0.07s,100%,1,00:00:00
2018-11-29,4,5,0,5,1,5,0,1,1,1,0,1,100%,1,00:00:00,0,0,0,0%,0,0,0,0%,0,0,0,0%,5,5,0,0,0,0,0,0,5,0.1s,100%,1,00:00:00
2018-11-30,6,6,0,7,2,5,220,3,3,3,0,1,100%,1,00:00:00,0,0,0,0%,0,0,0,0%,0,0,0,0%,7,6,0,0,0,0,0,0,7,0.09s,83%,1.2,00:00:37
2018-12-01,1,1,0,1,1,1,0,,,,,,0%,0,00:00:00,0,0,0,0%,0,0,0,0%,,,,,1,1,0,0,0,0,0,0,1,0.12s,100%,1,00:00:00
2018-12-03,2,3,0,3,1,3,0,2,2,1,0,1,100%,1,00:00:00,0,0,0,0%,0,0,0,0%,0,0,0,0%,3,3,0,0,0,0,0,0,3,0.2s,100%,1,00:00:00
2018-12-04,1,1,0,1,1,1,0,,,,,,0%,0,00:00:00,0,0,0,0%,0,0,0,0%,,,,,1,1,0,0,0,0,0,0,1,0.12s,100%,1,00:00:00
2018-12-05,7,8,0,9,2,7,8,4,5,4,0,2,75%,1.3,00:00:02,0,0,0,0%,0,0,0,0%,0,0,0,0%,9,8,0,0,0,0,0,0,9,0.41s,88%,1.1,00:00:01
2018-12-06,2,2,0,2,1,2,0,3,3,3,0,1,100%,1,00:00:00,0,0,0,0%,,,,,0,0,0,0%,2,2,0,0,0,0,0,0,2,1.15s,100%,1,00:00:00
