Date,Unique visitors,Visits,Users,Actions,Maximum actions in one visit,Bounces,Total time spent by visitors (in seconds),Returning Visits,Actions by Returning Visits,Unique returning visitors,Returning Users,Maximum actions in one returning visit,Bounce Rate for Returning Visits,Avg. Actions per Returning Visit,Avg. Duration of a Returning Visit (in sec),Conversions,Visits with Conversions,Revenue,Conversion Rate,nb_conversions_new_visit,nb_visits_converted_new_visit,revenue_new_visit,conversion_rate_new_visit,nb_conversions_returning_visit,nb_visits_converted_returning_visit,revenue_returning_visit,conversion_rate_returning_visit,Pageviews,Unique Pageviews,Downloads,Unique Downloads,Outlinks,Unique Outlinks,Searches,Unique Keywords,nb_hits_with_time_generation,Avg. generation time,Bounce Rate,Actions per Visit,Avg. Visit Duration (in seconds)
2017-10-17,54,74,0,610,125,26,32480,32,159,20,0,30,41%,5,00:07:09,0,0,0,0%,0,0,0,0%,0,0,0,0%,600,262,5,4,5,5,0,0,589,0.56s,35%,8.2,00:07:19
2017-10-18,92,139,0,1464,85,51,110693,57,497,30,0,85,51%,8.7,00:10:30,0,0,0,0%,0,0,0,0%,0,0,0,0%,1455,602,3,3,6,5,0,0,1452,1.09s,37%,10.5,00:13:16
2017-10-19,87,127,0,1093,84,42,69018,73,645,45,0,84,36%,8.8,00:08:11,0,0,0,0%,0,0,0,0%,0,0,0,0%,1091,530,1,1,1,1,0,0,1082,0.66s,33%,8.6,00:09:03
2017-10-20,101,152,0,1757,127,46,120537,85,1022,52,0,127,34%,12,00:13:13,0,0,0,0%,0,0,0,0%,0,0,0,0%,1726,726,17,15,14,14,0,0,1726,0.83s,30%,11.6,00:13:13
2017-10-21,67,103,0,1109,79,40,80509,66,619,40,0,79,48%,9.4,00:12:29,0,0,0,0%,0,0,0,0%,0,0,0,0%,1103,476,3,3,3,3,0,0,1102,0.59s,39%,10.8,00:13:02
2017-10-22,25,32,0,416,106,10,29480,11,286,7,0,106,36%,26,00:32:44,0,0,0,0%,0,0,0,0%,0,0,0,0%,414,179,2,2,0,0,0,0,414,0.35s,31%,13,00:15:21
2017-10-23,66,95,0,899,84,38,45883,52,349,30,0,48,46%,6.7,00:04:37,0,0,0,0%,0,0,0,0%,0,0,0,0%,880,416,13,11,6,6,0,0,878,0.46s,40%,9.5,00:08:03
2017-10-24,73,93,0,584,53,35,28677,42,293,30,0,42,36%,7,00:04:02,0,0,0,0%,0,0,0,0%,0,0,0,0%,545,368,29,29,10,8,0,0,533,0.4s,38%,6.3,00:05:08
2017-10-25,76,110,0,889,55,41,63112,53,292,35,0,43,49%,5.5,00:05:31,0,0,0,0%,0,0,0,0%,0,0,0,0%,855,479,17,14,17,8,0,0,850,0.54s,37%,8.1,00:09:34
2017-10-26,45,64,0,386,74,29,18519,38,243,23,0,59,50%,6.4,00:03:49,0,0,0,0%,0,0,0,0%,0,0,0,0%,362,173,19,14,5,4,0,0,358,0.74s,45%,6,00:04:49
2017-10-27,72,98,0,1446,217,38,54821,47,633,29,0,91,45%,13.5,00:08:00,0,0,0,0%,0,0,0,0%,0,0,0,0%,1434,478,6,5,6,6,0,0,1428,0.4s,39%,14.8,00:09:19
2017-10-28,32,57,0,547,68,20,27366,39,399,18,0,68,41%,10.2,00:07:02,0,0,0,0%,0,0,0,0%,0,0,0,0%,537,267,8,8,2,2,0,0,537,0.39s,35%,9.6,00:08:00
2017-10-29,13,18,0,134,52,10,6096,10,16,7,0,4,70%,1.6,00:00:38,0,0,0,0%,0,0,0,0%,0,0,0,0%,131,64,3,3,0,0,0,0,131,0.31s,56%,7.4,00:05:39
2017-10-30,49,67,0,400,28,25,21548,33,163,18,0,19,48%,4.9,00:04:29,0,0,0,0%,0,0,0,0%,0,0,0,0%,394,268,2,2,4,4,0,0,356,1.21s,37%,6,00:05:22
2017-10-31,62,79,0,462,27,25,26057,37,310,31,0,27,24%,8.4,00:06:36,0,0,0,0%,0,0,0,0%,0,0,0,0%,446,267,4,4,12,10,0,0,429,0.53s,32%,5.8,00:05:30
2017-11-01,36,47,0,290,57,16,13436,22,145,18,0,29,41%,6.6,00:03:40,0,0,0,0%,0,0,0,0%,0,0,0,0%,283,164,5,5,2,2,0,0,280,0.26s,34%,6.2,00:04:46
2017-11-02,60,84,0,537,55,35,37733,43,304,28,0,55,42%,7.1,00:06:56,0,0,0,0%,0,0,0,0%,0,0,0,0%,535,343,0,0,2,2,0,0,520,0.4s,42%,6.4,00:07:29
2017-11-03,67,85,0,828,72,37,35902,49,326,39,0,72,55%,6.7,00:06:03,0,0,0,0%,0,0,0,0%,0,0,0,0%,822,374,2,2,4,4,0,0,817,0.52s,44%,9.7,00:07:02
2017-11-04,35,48,0,417,52,14,13669,25,191,15,0,46,32%,7.6,00:04:42,0,0,0,0%,0,0,0,0%,0,0,0,0%,412,220,2,2,3,3,0,0,411,0.83s,29%,8.7,00:04:45
2017-11-05,24,31,0,392,278,15,10979,9,43,5,0,29,67%,4.8,00:03:30,0,0,0,0%,0,0,0,0%,0,0,0,0%,392,105,0,0,0,0,0,0,389,0.28s,48%,12.6,00:05:54
2017-11-06,60,76,0,605,89,27,25552,34,288,25,0,89,38%,8.5,00:04:31,0,0,0,0%,0,0,0,0%,0,0,0,0%,604,320,1,1,0,0,0,0,602,0.47s,36%,8,00:05:36
2017-11-07,49,62,0,592,56,20,37219,31,226,20,0,28,35%,7.3,00:08:36,0,0,0,0%,0,0,0,0%,0,0,0,0%,586,299,2,2,4,4,0,0,584,0.31s,32%,9.5,00:10:00
2017-11-08,83,128,0,1071,78,43,54737,71,593,36,0,45,42%,8.4,00:06:31,0,0,0,0%,0,0,0,0%,0,0,0,0%,1066,556,3,3,2,2,0,0,1063,0.45s,34%,8.4,00:07:08
2017-11-09,60,85,0,623,71,31,32317,48,441,25,0,71,38%,9.2,00:06:48,0,0,0,0%,0,0,0,0%,0,0,0,0%,613,360,9,9,1,1,0,0,613,0.56s,36%,7.3,00:06:20
2017-11-10,38,65,0,451,42,29,19245,40,219,18,0,37,55%,5.5,00:03:36,0,0,0,0%,0,0,0,0%,0,0,0,0%,446,259,3,3,2,2,0,0,444,0.39s,45%,6.9,00:04:56
2017-11-11,33,53,0,401,91,26,12369,32,248,17,0,91,50%,7.8,00:03:11,0,0,0,0%,0,0,0,0%,0,0,0,0%,394,184,4,4,3,2,0,0,393,1.36s,49%,7.6,00:03:53
2017-11-12,22,28,0,229,36,12,19577,13,118,9,0,36,46%,9.1,00:21:24,0,0,0,0%,0,0,0,0%,0,0,0,0%,224,115,2,2,3,1,0,0,224,0.54s,43%,8.2,00:11:39
2017-11-13,59,93,0,918,108,35,43252,56,502,28,0,108,48%,9,00:07:02,0,0,0,0%,0,0,0,0%,0,0,0,0%,909,414,6,6,3,3,0,0,909,0.4s,38%,9.9,00:07:45
2017-11-14,60,74,0,590,41,26,27077,38,366,28,0,41,29%,9.6,00:06:38,0,0,0,0%,0,0,0,0%,0,0,0,0%,581,319,4,4,5,5,0,0,580,0.52s,35%,8,00:06:06
2017-11-15,59,83,0,1040,223,29,38349,50,755,30,0,223,36%,15.1,00:08:11,0,0,0,0%,0,0,0,0%,0,0,0,0%,1033,446,3,3,4,4,0,0,1032,1.6s,35%,12.5,00:07:42
2017-11-16,99,146,0,1141,80,52,65901,64,422,37,0,80,48%,6.6,00:06:47,0,0,0,0%,0,0,0,0%,0,0,0,0%,1135,574,1,1,5,5,0,0,1133,0.99s,36%,7.8,00:07:31
2017-11-17,55,81,0,599,46,30,38121,37,256,20,0,39,46%,6.9,00:08:05,0,0,0,0%,0,0,0,0%,0,0,0,0%,591,304,6,5,2,2,0,0,587,1.95s,37%,7.4,00:07:51
2017-11-18,43,54,0,573,50,12,32206,24,220,16,0,42,33%,9.2,00:09:17,0,0,0,0%,0,0,0,0%,0,0,0,0%,570,253,2,2,1,1,0,0,569,3.16s,22%,10.6,00:09:56
2017-11-19,47,69,0,858,156,31,34945,33,209,21,0,30,61%,6.3,00:04:28,0,0,0,0%,0,0,0,0%,0,0,0,0%,853,312,5,3,0,0,0,0,853,0.48s,45%,12.4,00:08:26
2017-11-20,85,125,0,915,75,62,41917,67,462,33,0,75,57%,6.9,00:04:57,0,0,0,0%,0,0,0,0%,0,0,0,0%,905,446,5,5,5,4,0,0,902,0.39s,50%,7.3,00:05:35
2017-11-21,62,91,0,757,64,38,38629,46,234,25,0,32,48%,5.1,00:04:08,0,0,0,0%,0,0,0,0%,0,0,0,0%,750,370,4,3,3,2,0,0,749,0.4s,42%,8.3,00:07:04
2017-11-22,65,92,0,770,70,37,52359,39,156,20,0,22,56%,4,00:04:58,0,0,0,0%,0,0,0,0%,0,0,0,0%,760,374,10,5,0,0,0,0,758,0.74s,40%,8.4,00:09:29
2017-11-23,56,76,0,654,87,29,35308,35,234,20,0,36,46%,6.7,00:05:31,0,0,0,0%,0,0,0,0%,0,0,0,0%,646,304,5,5,3,3,0,0,643,0.38s,38%,8.6,00:07:45
2017-11-24,47,69,0,488,52,32,26276,38,205,24,0,52,53%,5.4,00:03:46,0,0,0,0%,0,0,0,0%,0,0,0,0%,486,256,1,1,1,1,0,0,483,0.44s,46%,7.1,00:06:21
2017-11-25,33,40,0,402,50,14,19159,16,164,13,0,47,50%,10.3,00:09:27,0,0,0,0%,0,0,0,0%,0,0,0,0%,397,174,0,0,5,5,0,0,397,0.42s,35%,10.1,00:07:59
2017-11-26,27,38,0,330,58,16,10137,18,133,13,0,32,50%,7.4,00:05:07,0,0,0,0%,0,0,0,0%,0,0,0,0%,330,156,0,0,0,0,0,0,330,0.35s,42%,8.7,00:04:27
2017-11-27,77,124,0,1349,167,48,85536,77,573,39,0,58,44%,7.4,00:10:24,0,0,0,0%,0,0,0,0%,0,0,0,0%,1337,570,6,6,6,6,0,0,1314,0.74s,39%,10.9,00:11:30
2017-11-28,85,123,0,1440,183,45,62604,68,573,38,0,122,49%,8.4,00:07:15,0,0,0,0%,0,0,0,0%,0,0,0,0%,1429,530,7,5,4,4,0,0,1427,0.43s,37%,11.7,00:08:29
